eval_idx,cluster,dp,mp,sp,pp,sharded,active-chunks-per-dimension,preferred-dataset-splits,collective-optimization,inter-node-bw,intra-node-bw,batch_size,exec_time,is_oom,objective_0,objective_1
116,cl2,1,1,32,1,True,1,1,baseline,100,900,16,3229.1408363342284,False,3.5090869868285486,4.463892988985907
117,cl2,1,1,32,1,True,1,1,baseline,100,900,24,3865.229631042481,False,3.5871753002031634,4.463892988985907
118,cl2,1,1,32,1,True,1,1,baseline,100,600,8,2642.6803230285645,False,3.422044631031254,4.290034611362518
119,cl2,1,1,32,1,True,1,1,baseline,100,600,16,3284.1442909240723,False,3.5164222298650296,4.290034611362518
120,cl2,1,1,32,1,True,1,1,baseline,100,600,24,3939.9592575073243,False,3.5954917308785603,4.290034611362518
121,cl2,1,1,32,1,True,2,1,localBWAware,200,900,8,903.5823623657227,False,2.9559677450438104,4.468347330412158
122,cl2,1,1,32,1,True,2,1,localBWAware,200,900,16,1787.896646118164,False,3.2523424096959643,4.468347330412158
123,cl2,1,1,32,1,True,2,1,localBWAware,200,900,24,2672.2115158081056,False,3.42687083124088,4.468347330412158
124,cl2,1,1,32,1,True,2,1,localBWAware,200,600,8,925.7216354370117,False,2.966480413930328,4.296665190261531
125,cl2,1,1,32,1,True,2,1,localBWAware,200,600,16,1829.762091064453,False,3.262394625656821,4.296665190261531
126,cl2,1,1,32,1,True,2,1,localBWAware,200,600,24,2733.8031326293944,False,3.436767236826129,4.296665190261531
127,cl2,1,1,32,1,True,2,1,localBWAware,100,900,8,1017.4412429809571,False,3.007509338205902,4.463892988985907
128,cl2,1,1,32,1,True,2,1,localBWAware,100,900,16,2003.2053314208983,False,3.3017254673827696,4.463892988985907
129,cl2,1,1,32,1,True,2,1,localBWAware,100,900,24,2988.9697128295898,False,3.4755215143642646,4.463892988985907
130,cl2,1,1,32,1,True,2,1,localBWAware,100,600,8,1039.5805160522461,False,3.0168581313038785,4.290034611362518
131,cl2,1,1,32,1,True,2,1,localBWAware,100,600,16,2045.0707763671874,False,3.310708342785327,4.290034611362518
132,cl2,1,1,32,1,True,2,1,localBWAware,100,600,24,3050.561329650879,False,3.4843797606384244,4.290034611362518
